date,hour,am/pm,burnside_snowdepth_cm,burnside_SWE_mm,leavittlk_snowdepth_cm,leavittil_SWE_mm,leavittmdw_snowdepth_cm,leavittmdw_SWE_mm,squaw _snowdepth_cm,squaw_SWE_mm
4/14/2019 0:00,9:00:00,PM,236,1059,500,2131,86,450,297,1676
4/14/2019 0:00,10:00:00,PM,236,1057,500,2131,86,450,297,1676
4/14/2019 0:00,11:00:00,PM,236,1057,500,2131,86,450,297,1676
4/15/2019 0:00,12:00:00,AM,236,1059,503,2134,86,450,297,1676
4/15/2019 0:00,1:00:00,AM,239,1059,500,2134,86,447,297,1674
4/15/2019 0:00,2:00:00,AM,236,1057,503,2136,86,450,297,1674
4/15/2019 0:00,3:00:00,AM,236,1059,503,2136,86,447,297,1674
4/15/2019 0:00,4:00:00,AM,236,1059,500,2139,86,447,297,1674
4/15/2019 0:00,5:00:00,AM,236,1057,500,2136,86,447,297,1674
4/15/2019 0:00,6:00:00,AM,239,1059,500,2136,86,444,297,1674
4/15/2019 0:00,7:00:00,AM,236,1057,500,2136,86,447,297,1671
